FEN,Evaluation
3r2k1/4bpp1/pR2bn1p/q3p3/N3P1P1/1P2B2P/P3Q1B1/6K1 b - - 4 24,-87
6k1/4bpp1/pR1rbn1p/q3p3/N3P1P1/1P2B2P/P3Q1B1/6K1 w - - 5 25,0
1R4k1/4bpp1/p2rbn1p/q3p3/N3P1P1/1P2B2P/P3Q1B1/6K1 b - - 6 25,-79
1R6/4bppk/p2rbn1p/q3p3/N3P1P1/1P2B2P/P3Q1B1/6K1 w - - 7 26,-41
1R6/4bppk/p2rbn1p/q3p3/N3P1P1/1P2BB1P/P3Q3/6K1 b - - 8 26,-99
1R6/4bppk/p1r1bn1p/q3p3/N3P1P1/1P2BB1P/P3Q3/6K1 w - - 9 27,-61
8/4bppk/pRr1bn1p/q3p3/N3P1P1/1P2BB1P/P3Q3/6K1 b - - 10 27,-111
8/4bppk/pr2bn1p/q3p3/N3P1P1/1P2BB1P/P3Q3/6K1 w - - 0 28,0
8/4bppk/pB2bn1p/q3p3/N3P1P1/1P3B1P/P3Q3/6K1 b - - 0 28,-24
8/4bppk/pB2bn1p/1q2p3/N3P1P1/1P3B1P/P3Q3/6K1 w - - 1 29,0
8/4bppk/pB2bn1p/1Q2p3/N3P1P1/1P3B1P/P7/6K1 b - - 0 29,-13
8/4bppk/1B2bn1p/1p2p3/N3P1P1/1P3B1P/P7/6K1 w - - 0 30,+29
8/4bppk/1B2bn1p/1pN1p3/4P1P1/1P3B1P/P7/6K1 b - - 1 30,-3
8/3nbppk/1B2b2p/1pN1p3/4P1P1/1P3B1P/P7/6K1 w - - 2 31,-7
8/3Nbppk/1B2b2p/1p2p3/4P1P1/1P3B1P/P7/6K1 b - - 0 31,-11
8/3bbppk/1B5p/1p2p3/4P1P1/1P3B1P/P7/6K1 w - - 0 32,0
8/3bbppk/1B5p/1p2p3/4P1P1/1P3B1P/P4K2/8 b - - 1 32,-50
8/3bbpp1/1B4kp/1p2p3/4P1P1/1P3B1P/P4K2/8 w - - 2 33,0
8/3bbpp1/1B4kp/1p2p3/4P1P1/1P5P/P4K2/3B4 b - - 3 33,-24
8/3b1pp1/1B4kp/1p2p3/4P1P1/bP5P/P4K2/3B4 w - - 4 34,-2
8/3b1pp1/1B4kp/1p2p3/4P1PP/bP6/P4K2/3B4 b - - 0 34,-13
8/5pp1/1Bb3kp/1p2p3/4P1PP/bP6/P4K2/3B4 w - - 1 35,0
8/5pp1/1Bb3kp/1p2p3/4P1PP/bP3K2/P7/3B4 b - - 2 35,-35
8/5pp1/1Bb2k1p/1p2p3/4P1PP/bP3K2/P7/3B4 w - - 3 36,0
3B4/5pp1/2b2k1p/1p2p3/4P1PP/bP3K2/P7/3B4 b - - 4 36,0
3B4/5pp1/2b1k2p/1p2p3/4P1PP/bP3K2/P7/3B4 w - - 5 37,0
3B4/5pp1/2b1k2p/1p2p3/4P1PP/bP3K2/P1B5/8 b - - 6 37,-24
3B4/5pp1/2bk3p/1p2p3/4P1PP/bP3K2/P1B5/8 w - - 7 38,0
3B4/5pp1/2bk3p/1p2p3/4P1PP/bP2K3/P1B5/8 b - - 8 38,-58
3B4/5pp1/2bk3p/1p2p3/4P1PP/1P2K3/P1B5/2b5 w - - 9 39,0
3B4/5pp1/2bk3p/1p2p3/4P1PP/1P3K2/P1B5/2b5 b - - 10 39,-27
3B4/5pp1/2bk3p/4p3/1p2P1PP/1P3K2/P1B5/2b5 w - - 0 40,0
3B4/5pp1/2bk3p/4p3/1p2P1PP/1P1B1K2/P7/2b5 b - - 1 40,0
3B4/5pp1/2bk3p/4p3/1p2P1PP/1P1B1K2/P2b4/8 w - - 2 41,0
3B4/5pp1/2bk3p/4p3/1pB1P1PP/1P3K2/P2b4/8 b - - 3 41,0
3Bb3/5pp1/3k3p/4p3/1pB1P1PP/1P3K2/P2b4/8 w - - 4 42,+17
4b3/5pp1/3k3p/B3p3/1pB1P1PP/1P3K2/P2b4/8 b - - 5 42,0
4b3/5pp1/7p/B1k1p3/1pB1P1PP/1P3K2/P2b4/8 w - - 6 43,+13
4b3/5pp1/7p/B1kBp3/1p2P1PP/1P3K2/P2b4/8 b - - 7 43,+12
4b3/5pp1/7p/B1kBp3/1p2P1PP/1P3K2/P7/4b3 w - - 8 44,+66
4b3/5pp1/7p/B1kBp2P/1p2P1P1/1P3K2/P7/4b3 b - - 0 44,0
4b3/5pp1/7p/B1kBp2P/1p2P1Pb/1P3K2/P7/8 w - - 1 45,0
4b3/2B2pp1/7p/2kBp2P/1p2P1Pb/1P3K2/P7/8 b - - 2 45,0
4b3/2B2pp1/5b1p/2kBp2P/1p2P1P1/1P3K2/P7/8 w - - 3 46,0
1B2b3/5pp1/5b1p/2kBp2P/1p2P1P1/1P3K2/P7/8 b - - 4 46,0
1B2b3/5p2/5bpp/2kBp2P/1p2P1P1/1P3K2/P7/8 w - - 0 47,+13
4b3/B4p2/5bpp/2kBp2P/1p2P1P1/1P3K2/P7/8 b - - 1 47,0
4b3/B4p2/5bpp/1k1Bp2P/1p2P1P1/1P3K2/P7/8 w - - 2 48,0
4b3/B4p2/5bpp/1k2p2P/1pB1P1P1/1P3K2/P7/8 b - - 3 48,0
4b3/B4p2/2k2bpp/4p2P/1pB1P1P1/1P3K2/P7/8 w - - 4 49,+39
4b3/5p2/2k2bpp/4p2P/1pB1P1P1/1P2BK2/P7/8 b - - 5 49,0
4b3/5p2/2k2b1p/4p1pP/1pB1P1P1/1P2BK2/P7/8 w - - 0 50,0
4b3/5p2/2k2b1p/3Bp1pP/1p2P1P1/1P2BK2/P7/8 b - - 1 50,0
4b3/5p2/5b1p/1k1Bp1pP/1p2P1P1/1P2BK2/P7/8 w - - 2 51,0
4b3/5p2/5b1p/1k2p1pP/1pB1P1P1/1P2BK2/P7/8 b - - 3 51,0
r1bqkb1r/1p1npppp/p4n2/1B1P4/Q7/2N5/PP1P1PPP/R1B1K1NR b KQkq - 1 7,-56
1rbqkb1r/1p1npppp/p4n2/1B1P4/Q7/2N5/PP1P1PPP/R1B1K1NR w KQk - 2 8,-2
1rbqkb1r/1p1Bpppp/p4n2/3P4/Q7/2N5/PP1P1PPP/R1B1K1NR b KQk - 0 8,-30
1r1qkb1r/1p1bpppp/p4n2/3P4/Q7/2N5/PP1P1PPP/R1B1K1NR w KQk - 0 9,+12
1r1qkb1r/1p1bpppp/p4n2/3P4/8/1QN5/PP1P1PPP/R1B1K1NR b KQk - 1 9,-18
1r1qkb1r/3bpppp/p4n2/1p1P4/8/1QN5/PP1P1PPP/R1B1K1NR w KQk - 0 10,+4
1r1qkb1r/3bpppp/p4n2/1p1P4/8/1QNP4/PP3PPP/R1B1K1NR b KQk - 0 10,-58
1r1qkb1r/3bpppp/p4n2/3P4/1p6/1QNP4/PP3PPP/R1B1K1NR w KQk - 0 11,0
1r1qkb1r/3bpppp/p4n2/3P4/1p2N3/1Q1P4/PP3PPP/R1B1K1NR b KQk - 1 11,-44
1r2kb1r/3bpppp/p4n2/q2P4/1p2N3/1Q1P4/PP3PPP/R1B1K1NR w KQk - 2 12,+68
1r2kb1r/3bpppp/p4N2/q2P4/1p6/1Q1P4/PP3PPP/R1B1K1NR b KQk - 0 12,-41
1r2kb1r/3bpp1p/p4p2/q2P4/1p6/1Q1P4/PP3PPP/R1B1K1NR w KQk - 0 13,+57
1r2kb1r/3bpp1p/p4p2/q2P4/1p6/1Q1P4/PP2NPPP/R1B1K2R b KQk - 1 13,+22
1r2kbr1/3bpp1p/p4p2/q2P4/1p6/1Q1P4/PP2NPPP/R1B1K2R w KQ - 2 14,+124
1r2kbr1/3bpp1p/p4p2/q2P4/1p6/1Q1P4/PP2NPPP/R1B2RK1 b - - 3 14,+110
1r2kbr1/4pp1p/p4p2/q2P4/bp6/1Q1P4/PP2NPPP/R1B2RK1 w - - 4 15,+265
1r2kbr1/4pp1p/p4p2/q2P4/bpQ5/3P4/PP2NPPP/R1B2RK1 b - - 5 15,+208
3rkbr1/4pp1p/p4p2/q2P4/bpQ5/3P4/PP2NPPP/R1B2RK1 w - - 6 16,+259
3rkbr1/4pp1p/p4p2/q2P4/bpQ5/1P1P4/P3NPPP/R1B2RK1 b - - 0 16,+151
3rkbr1/4pp1p/p4p2/qb1P4/1pQ5/1P1P4/P3NPPP/R1B2RK1 w - - 1 17,+111
3rkbr1/4pp1p/p4p2/qb1P4/1p2Q3/1P1P4/P3NPPP/R1B2RK1 b - - 2 17,+96
3rkbr1/4pp1p/pq3p2/1b1P4/1p2Q3/1P1P4/P3NPPP/R1B2RK1 w - - 3 18,+263
3rkbr1/4pp1p/pq3p2/1b1P4/1p2Q3/1P1PB3/P3NPPP/R4RK1 b - - 4 18,+264
3rkbr1/1q2pp1p/p4p2/1b1P4/1p2Q3/1P1PB3/P3NPPP/R4RK1 w - - 5 19,+415
3rkbr1/1q2pp1p/p4p2/1b1P4/1p2QN2/1P1PB3/P4PPP/R4RK1 b - - 6 19,+368
3rkbr1/1q3p1p/p4p2/1b1Pp3/1p2QN2/1P1PB3/P4PPP/R4RK1 w - e6 0 20,+412
3rkbr1/1q3p1p/p4p2/1b1Pp3/1p2QN2/1P1PB3/P4PPP/R3R1K1 b - - 1 20,+411
4kbr1/1q1r1p1p/p4p2/1b1Pp3/1p2QN2/1P1PB3/P4PPP/R3R1K1 w - - 2 21,+828
4kbr1/1q1r1p1p/p4p2/1b1Pp3/1p1PQN2/1P2B3/P4PPP/R3R1K1 b - - 0 21,+519
3k1br1/1q1r1p1p/p4p2/1b1Pp3/1p1PQN2/1P2B3/P4PPP/R3R1K1 w - - 1 22,+930
3k1br1/1q1r1p1p/p4p2/1b1PP3/1p2QN2/1P2B3/P4PPP/R3R1K1 b - - 0 22,+887
3k1br1/1q1r1p1p/p7/1b1Pp3/1p2QN2/1P2B3/P4PPP/R3R1K1 w - - 0 23,+1032
3k1br1/1q1r1p1Q/p7/1b1Pp3/1p3N2/1P2B3/P4PPP/R3R1K1 b - - 0 23,+931
3k1b2/1q1r1p1Q/p7/1b1Pp3/1p3Nr1/1P2B3/P4PPP/R3R1K1 w - - 1 24,+1379
3k1b1Q/1q1r1p2/p7/1b1Pp3/1p3Nr1/1P2B3/P4PPP/R3R1K1 b - - 2 24,+1927
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6,+30
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,+64
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7,+18
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w - - 2 8,+89
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/P3P3/1B3N2/1PPP1PPP/RNBQR1K1 b - - 0 8,+11
r2q1rk1/1bppbppp/p1n2n2/1p2p3/P3P3/1B3N2/1PPP1PPP/RNBQR1K1 w - - 1 9,+95
r2q1rk1/1bppbppp/p1n2n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQR1K1 b - - 0 9,+50
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQR1K1 w - - 0 10,+92
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1BNP1N2/1PP2PPP/R1BQR1K1 b - - 1 10,0
r2q1rk1/1bp1bppp/p2p1n2/np2p3/P3P3/1BNP1N2/1PP2PPP/R1BQR1K1 w - - 2 11,+73
r2q1rk1/1bp1bppp/p2p1n2/np2p3/P3P3/2NP1N2/BPP2PPP/R1BQR1K1 b - - 3 11,0
r2q1rk1/1bp1bppp/p2p1n2/n3p3/Pp2P3/2NP1N2/BPP2PPP/R1BQR1K1 w - - 0 12,+76
r2q1rk1/1bp1bppp/p2p1n2/n3p3/Pp2P3/3P1N2/BPP1NPPP/R1BQR1K1 b - - 1 12,+17
1r1q1rk1/1bp1bppp/p2p1n2/n3p3/Pp2P3/3P1N2/BPP1NPPP/R1BQR1K1 w - - 2 13,+81
1r1q1rk1/1bp1bppp/p2p1n2/n3p3/Pp2P3/3P1NN1/BPP2PPP/R1BQR1K1 b - - 3 13,+6
1r1q1rk1/1b2bppp/p2p1n2/n1p1p3/Pp2P3/3P1NN1/BPP2PPP/R1BQR1K1 w - - 0 14,+70
1r1q1rk1/1b2bppp/p2p1n2/n1p1p3/Pp2P3/3P2N1/BPPN1PPP/R1BQR1K1 b - - 1 14,+28
1rbq1rk1/4bppp/p2p1n2/n1p1p3/Pp2P3/3P2N1/BPPN1PPP/R1BQR1K1 w - - 2 15,+59
1rbq1rk1/4bppp/p2p1n2/n1p1p3/PpN1P3/3P2N1/BPP2PPP/R1BQR1K1 b - - 3 15,+13
1r1q1rk1/4bppp/p2p1n2/n1p1p3/PpN1P1b1/3P2N1/BPP2PPP/R1BQR1K1 w - - 4 16,+76
1r1q1rk1/4bppp/p2p1n2/n1p1p3/PpN1P1b1/3P1PN1/BPP3PP/R1BQR1K1 b - - 0 16,+9
1r1q1rk1/4bppp/p2pbn2/n1p1p3/PpN1P3/3P1PN1/BPP3PP/R1BQR1K1 w - - 1 17,+81
1r1q1rk1/4bppp/p2pbn2/N1p1p3/Pp2P3/3P1PN1/BPP3PP/R1BQR1K1 b - - 0 17,0
1r3rk1/4bppp/p2pbn2/q1p1p3/Pp2P3/3P1PN1/BPP3PP/R1BQR1K1 w - - 0 18,+52
1r3rk1/4bppp/p2pbn2/q1p1p3/PpB1P3/3P1PN1/1PP3PP/R1BQR1K1 b - - 1 18,0
1r3rk1/3nbppp/p2pb3/q1p1p3/PpB1P3/3P1PN1/1PP3PP/R1BQR1K1 w - - 2 19,+49
1r3rk1/3nbppp/p2pb3/q1p1p3/PpB1P3/1P1P1PN1/2P3PP/R1BQR1K1 b - - 0 19,-32
1r3rk1/4bppp/pn1pb3/q1p1p3/PpB1P3/1P1P1PN1/2P3PP/R1BQR1K1 w - - 1 20,+86
1r3rk1/4bppp/pn1pb3/q1p1p3/PpB1P3/1P1P1PN1/2P3PP/1RBQR1K1 b - - 2 20,+18
3r1rk1/4bppp/pn1pb3/q1p1p3/PpB1P3/1P1P1PN1/2P3PP/1RBQR1K1 w - - 3 21,+72
3r1rk1/4bppp/pn1pb3/q1p1p3/PpB1P3/1P1P1PN1/2P1Q1PP/1RB1R1K1 b - - 4 21,0
3r1rk1/4bppp/pn2b3/q1ppp3/PpB1P3/1P1P1PN1/2P1Q1PP/1RB1R1K1 w - - 0 22,+143
3r1rk1/4bppp/pn2b3/q1pPp3/PpB5/1P1P1PN1/2P1Q1PP/1RB1R1K1 b - - 0 22,+144
3r1rk1/4bppp/p3b3/q1pnp3/PpB5/1P1P1PN1/2P1Q1PP/1RB1R1K1 w - - 0 23,+93
3r1rk1/4bppp/p3b3/q1pnp3/PpB5/1P1P1PN1/2PBQ1PP/1R2R1K1 b - - 1 23,0
3r1rk1/4b1pp/p3bp2/q1pnp3/PpB5/1P1P1PN1/2PBQ1PP/1R2R1K1 w - - 0 24,+193
3r1rk1/4b1pp/p3bp2/q1pnp3/PpB2P2/1P1P2N1/2PBQ1PP/1R2R1K1 b - - 0 24,+144
3r1rk1/6pp/p2bbp2/q1pnp3/PpB2P2/1P1P2N1/2PBQ1PP/1R2R1K1 w - - 1 25,+194
3r1rk1/6pp/p2bbp2/q1pnpP2/PpB5/1P1P2N1/2PBQ1PP/1R2R1K1 b - - 0 25,+142
3r1rk1/5bpp/p2b1p2/q1pnpP2/PpB5/1P1P2N1/2PBQ1PP/1R2R1K1 w - - 1 26,+176
3r1rk1/5bpp/p2b1p2/q1pnpP2/PpB3Q1/1P1P2N1/2PB2PP/1R2R1K1 b - - 2 26,+159
3r1r1k/5bpp/p2b1p2/q1pnpP2/PpB3Q1/1P1P2N1/2PB2PP/1R2R1K1 w - - 3 27,+204
3r1r1k/5bpp/p2b1p2/q1pnpP2/PpB1R1Q1/1P1P2N1/2PB2PP/1R4K1 b - - 4 27,+170
3r1r1k/5bpp/pq1b1p2/2pnpP2/PpB1R1Q1/1P1P2N1/2PB2PP/1R4K1 w - - 5 28,+275
3r1r1k/5bpp/pq1b1p2/2pnpP2/PpB1R1Q1/1P1P2N1/2PB2PP/1R5K b - - 6 28,+194
3r1r1k/1q3bpp/p2b1p2/2pnpP2/PpB1R1Q1/1P1P2N1/2PB2PP/1R5K w - - 7 29,+180
3r1r1k/1q3bpp/p2b1p2/2pnpP2/PpB1R1Q1/1P1P2N1/2PB2PP/4R2K b - - 8 29,+198
3rr2k/1q3bpp/p2b1p2/2pnpP2/PpB1R1Q1/1P1P2N1/2PB2PP/4R2K w - - 9 30,+230
3rr2k/1q3bpp/p2b1p2/2pnpP2/PpB1R2Q/1P1P2N1/2PB2PP/4R2K b - - 10 30,+174
3rrb1k/1q3bpp/p4p2/2pnpP2/PpB1R2Q/1P1P2N1/2PB2PP/4R2K w - - 11 31,+230
3rrb1k/1q3bpp/p4p2/2pnpP2/PpB1R2Q/1P1P4/2PB2PP/4RN1K b - - 12 31,+78
3rrb1k/1q3bpp/pn3p2/2p1pP2/PpB1R2Q/1P1P4/2PB2PP/4RN1K w - - 13 32,+130
3rrb1k/1q3Bpp/pn3p2/2p1pP2/Pp2R2Q/1P1P4/2PB2PP/4RN1K b - - 0 32,+91
3rrb1k/5qpp/pn3p2/2p1pP2/Pp2R2Q/1P1P4/2PB2PP/4RN1K w - - 0 33,+143
3rrb1k/5qpp/pn3p2/2p1pP2/Pp2R2Q/1P1PB3/2P3PP/4RN1K b - - 1 33,+83
3rrb1k/5qpp/p4p2/2pnpP2/Pp2R2Q/1P1PB3/2P3PP/4RN1K w - - 2 34,+135
3rrb1k/5qpp/p4p2/2pnpP2/Pp2R2Q/1P1P4/2P3PP/4RNBK b - - 3 34,+66
3rrb1k/5qpp/p4p2/2p1pP2/Pp2R2Q/1PnP4/2P3PP/4RNBK w - - 4 35,+128
3rrb1k/5qpp/p4p2/2p1pP2/PpR4Q/1PnP4/2P3PP/4RNBK b - - 5 35,+77
4rb1k/5qpp/p4p2/2p1pP2/PpRr3Q/1PnP4/2P3PP/4RNBK w - - 6 36,+130
4rb1k/5qpp/p4p2/2p1pP2/PpRB3Q/1PnP4/2P3PP/4RN1K b - - 0 36,+60
4rb1k/5qpp/p4p2/2p2P2/PpRp3Q/1PnP4/2P3PP/4RN1K w - - 0 37,+120
4rb1k/5qpp/p4p2/2p2P2/Pp1p3Q/1PRP4/2P3PP/4RN1K b - - 0 37,0
4rb1k/5qpp/p4p2/2p2P2/P2p3Q/1PpP4/2P3PP/4RN1K w - - 0 38,0
4rb1k/5qpp/p4p2/2p2P2/P2pR2Q/1PpP4/2P3PP/5N1K b - - 1 38,-51
4r2k/5qpp/p2b1p2/2p2P2/P2pR2Q/1PpP4/2P3PP/5N1K w - - 2 39,0
4r2k/5qpp/p2b1p2/2p2P2/P2pR2Q/1PpP3P/2P3P1/5N1K b - - 0 39,-81
4r1k1/5qpp/p2b1p2/2p2P2/P2pR2Q/1PpP3P/2P3P1/5N1K w - - 1 40,0
4r1k1/5qpp/p2b1p2/2p2P2/P2pR2Q/1PpP3P/2P3PN/7K b - - 2 40,-70
4r1k1/5qpp/p4p2/2p2P2/P2pR2Q/1PpP3P/2P3Pb/7K w - - 0 41,0
4r1k1/5qpp/p4p2/2p2P2/P2pR2Q/1PpP3P/2P3PK/8 b - - 0 41,-39
4r1k1/2q3pp/p4p2/2p2P2/P2pR2Q/1PpP3P/2P3PK/8 w - - 1 42,-51
4r1k1/2q3pp/p4p2/2p2P2/P2pR2Q/1PpP3P/2P3P1/6K1 b - - 2 42,-49
6k1/2q3pp/p4p2/2p1rP2/P2pR2Q/1PpP3P/2P3P1/6K1 w - - 3 43,0
6k1/2q3pp/p4p2/2p1rP2/P2pRQ2/1PpP3P/2P3P1/6K1 b - - 4 43,-61
6k1/4q1pp/p4p2/2p1rP2/P2pRQ2/1PpP3P/2P3P1/6K1 w - - 5 44,0
6k1/4q1pp/p4p2/2p1rP2/P2pRQ2/1PpP3P/2P2KP1/8 b - - 6 44,-84
6k1/4q1pp/p4p2/2p2P2/P2prQ2/1PpP3P/2P2KP1/8 w - - 0 45,-48
6k1/4q1pp/p4p2/2p2P2/P2pPQ2/1Pp4P/2P2KP1/8 b - - 0 45,-146
6k1/4q2p/p4p2/2p2Pp1/P2pPQ2/1Pp4P/2P2KP1/8 w - g6 0 46,0
6k1/4q2p/p4pP1/2p5/P2pPQ2/1Pp4P/2P2KP1/8 b - - 0 46,-119
6k1/4q3/p4pp1/2p5/P2pPQ2/1Pp4P/2P2KP1/8 w - - 0 47,-102
6k1/4q3/p4pp1/2p5/P2pPQ2/1Pp4P/2P1K1P1/8 b - - 1 47,-168
6k1/4q3/p5p1/2p2p2/P2pPQ2/1Pp4P/2P1K1P1/8 w - - 0 48,-161
6k1/4q3/p5p1/2p1Pp2/P2p1Q2/1Pp4P/2P1K1P1/8 b - - 0 48,-155
6k1/1q6/p5p1/2p1Pp2/P2p1Q2/1Pp4P/2P1K1P1/8 w - - 1 49,0
6k1/1q6/p5p1/2p1PpQ1/P2p4/1Pp4P/2P1K1P1/8 b - - 2 49,-77
6k1/8/p5p1/2p1PpQ1/P2pq3/1Pp4P/2P1K1P1/8 w - - 3 50,0
6k1/8/p5p1/2p1PpQ1/P2pq3/1Pp4P/2P3P1/3K4 b - - 4 50,0
6k1/8/p1q3p1/2p1PpQ1/P2p4/1Pp4P/2P3P1/3K4 w - - 5 51,0
6k1/8/p1q3p1/2p1PpQ1/P2p3P/1Pp5/2P3P1/3K4 b - - 0 51,0
6k1/8/p1q3p1/2p1P1Q1/P2p1p1P/1Pp5/2P3P1/3K4 w - - 0 52,0
6k1/8/p1q3p1/2p1P3/P2p1Q1P/1Pp5/2P3P1/3K4 b - - 0 52,0
6k1/8/2q3p1/p1p1P3/P2p1Q1P/1Pp5/2P3P1/3K4 w - - 0 53,0
6k1/8/2q3p1/p1p1P3/P2p2QP/1Pp5/2P3P1/3K4 b - - 1 53,0
8/5k2/2q3p1/p1p1P3/P2p2QP/1Pp5/2P3P1/3K4 w - - 2 54,0
8/5k2/2q3p1/p1p1P3/P2p2QP/1Pp5/2P1K1P1/8 b - - 3 54,0
8/5k2/q5p1/p1p1P3/P2p2QP/1Pp5/2P1K1P1/8 w - - 4 55,0
8/5k2/q5p1/p1p1P3/P2p2QP/1Pp5/2P2KP1/8 b - - 5 55,0
8/5k2/4q1p1/p1p1P3/P2p2QP/1Pp5/2P2KP1/8 w - - 6 56,0
8/5k2/4q1p1/p1p1P3/P2pQ2P/1Pp5/2P2KP1/8 b - - 7 56,-475
8/5k2/6p1/p1p1Pq2/P2pQ2P/1Pp5/2P2KP1/8 w - - 8 57,-931
8/5k2/6p1/p1p1PQ2/P2p3P/1Pp5/2P2KP1/8 b - - 0 57,-418
8/5k2/8/p1p1Pp2/P2p3P/1Pp5/2P2KP1/8 w - - 0 58,-363
8/5k2/8/p1p1Pp1P/P2p4/1Pp5/2P2KP1/8 b - - 0 58,-976
8/5k2/8/p1p1Pp1P/P7/1Ppp4/2P2KP1/8 w - - 0 59,-1519
8/5k2/7P/p1p1Pp2/P7/1Ppp4/2P2KP1/8 b - - 0 59,-1245
8/5k2/7P/p1p1Pp2/P7/1Pp5/2p2KP1/8 w - - 0 60,-2467
8/5k2/4P2P/p1p2p2/P7/1Pp5/2p2KP1/8 b - - 0 60,-1237
8/8/4k2P/p1p2p2/P7/1Pp5/2p2KP1/8 w - - 0 61,-2420
8/7P/4k3/p1p2p2/P7/1Pp5/2p2KP1/8 b - - 0 61,-1615
8/7P/4k3/p1p2p2/P7/1Pp5/5KP1/2q5 w - - 0 62,-2372
7Q/8/4k3/p1p2p2/P7/1Pp5/5KP1/2q5 b - - 0 62,-2618
7Q/8/4k3/p1p2p2/P7/1Pp5/3q1KP1/8 w - - 1 63,-2451
7Q/8/4k3/p1p2p2/P7/1Pp3K1/3q2P1/8 b - - 2 63,-6238
7Q/8/4k3/p1p2p2/P7/1Pp1q1K1/6P1/8 w - - 3 64,#-19
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 1 3,+31
rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,+82
rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq - 0 4,+14
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,+68
rn1qkbnr/pp2pppp/2p5/5b2/3P4/6N1/PPP2PPP/R1BQKBNR b KQkq - 2 5,+27
rn1qkbnr/pp2pppp/2p3b1/8/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq - 3 6,+54
rn1qkbnr/pp2pppp/2p3b1/8/3P3P/6N1/PPP2PP1/R1BQKBNR b KQkq - 0 6,-8
rn1qkbnr/pp2ppp1/2p3bp/8/3P3P/6N1/PPP2PP1/R1BQKBNR w KQkq - 0 7,+69
rn1qkbnr/pp2ppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R b KQkq - 1 7,0
r2qkbnr/pp1nppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R w KQkq - 2 8,+62
r2qkbnr/pp1nppp1/2p3bp/7P/3P4/5NN1/PPP2PP1/R1BQKB1R b KQkq - 0 8,-56
r2qkbnr/pp1npppb/2p4p/7P/3P4/5NN1/PPP2PP1/R1BQKB1R w KQkq - 1 9,+24
r2qkbnr/pp1npppb/2p4p/7P/3P4/3B1NN1/PPP2PP1/R1BQK2R b KQkq - 2 9,-18
r2qkbnr/pp1nppp1/2p4p/7P/3P4/3b1NN1/PPP2PP1/R1BQK2R w KQkq - 0 10,+2
r2qkbnr/pp1nppp1/2p4p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R b KQkq - 0 10,-18
r3kbnr/ppqnppp1/2p4p/7P/3P4/3Q1NN1/PPP2PP1/R1B1K2R w KQkq - 1 11,+8
r3kbnr/ppqnppp1/2p4p/7P/3P4/3Q1NN1/PPPB1PP1/R3K2R b KQkq - 2 11,-13
2kr1bnr/ppqnppp1/2p4p/7P/3P4/3Q1NN1/PPPB1PP1/R3K2R w KQ - 3 12,+113
2kr1bnr/ppqnppp1/2p4p/7P/3P4/3Q1NN1/PPPB1PP1/2KR3R b - - 4 12,+17
2kr1bnr/ppqn1pp1/2p1p2p/7P/3P4/3Q1NN1/PPPB1PP1/2KR3R w - - 0 13,+92
2kr1bnr/ppqn1pp1/2p1p2p/7P/3PN3/3Q1N2/PPPB1PP1/2KR3R b - - 1 13,+48
2kr1b1r/ppqn1pp1/2p1pn1p/7P/3PN3/3Q1N2/PPPB1PP1/2KR3R w - - 2 14,+102
2kr1b1r/ppqn1pp1/2p1pn1p/7P/3PN3/3Q1NP1/PPPB1P2/2KR3R b - - 0 14,+54
2kr1b1r/ppqn1pp1/2p1p2p/7P/3Pn3/3Q1NP1/PPPB1P2/2KR3R w - - 0 15,+103
2kr1b1r/ppqn1pp1/2p1p2p/7P/3PQ3/5NP1/PPPB1P2/2KR3R b - - 0 15,+46
2kr1b1r/ppq2pp1/2p1pn1p/7P/3PQ3/5NP1/PPPB1P2/2KR3R w - - 1 16,+54
2kr1b1r/ppq2pp1/2p1pn1p/7P/3P4/5NP1/PPPBQP2/2KR3R b - - 2 16,+48
2kr3r/ppq2pp1/2pbpn1p/7P/3P4/5NP1/PPPBQP2/2KR3R w - - 3 17,+60
2kr3r/ppq2pp1/2pbpn1p/7P/3P4/5NP1/PPPBQP2/1K1R3R b - - 4 17,0
